Measurement Year,Facility Name,Current Facility Name,Facility ID,Facility OPCERT,Facility Medicare Number,Measure Short Name,Measure Full Name,Measure ID Number,First Quintile,Second Quintile,Third Quintile,Fourth Quintile,Fifth Quintile,Numeric Value,Character Value,Quintile,Points,Comments,City,County,Region,Location
2023,"Absolut Center for Nursing and Rehabilitation at Allegany, LLC","Absolut Center for Nursing and Rehabilitation at Allegany, LLC",73,420302,335610,FACILITY EMPLOYEE FLU VACCINE,Percent of employees vaccinated for the flu,3,100,77,62,50,37,99,,1,5,,Allegany,Cattaraugus,WRO,"(42.0946, -78.4899)"
2023,"Absolut Center for Nursing and Rehabilitation at Allegany, LLC","Absolut Center for Nursing and Rehabilitation at Allegany, LLC",73,420302,335610,RESIDENT PAH ADJUSTED,"Number of potentially avoidable hospitalizations per 10,000 long stay days",18,3.3,4.6,5.7,7.5,17.6,,SS,NA,0,Sample size too small to report,Allegany,Cattaraugus,WRO,"(42.0946, -78.4899)"
2023,"Absolut Center for Nursing and Rehabilitation at Allegany, LLC","Absolut Center for Nursing and Rehabilitation at Allegany, LLC",73,420302,335610,RESIDENT UTI,Percent of long stay residents with a urinary tract infection,14,0.4,0.9,1.7,2.8,12.9,0,,NA,5,,Allegany,Cattaraugus,WRO,"(42.0946, -78.4899)"
2023,"Absolut Center for Nursing and Rehabilitation at Allegany, LLC","Absolut Center for Nursing and Rehabilitation at Allegany, LLC",73,420302,335610,FACILITY JKL,J/K/L deficiency,21,,,,,,,No,,,,Allegany,Cattaraugus,WRO,"(42.0946, -78.4899)"
2023,"Absolut Center for Nursing and Rehabilitation at Allegany, LLC","Absolut Center for Nursing and Rehabilitation at Allegany, LLC",73,420302,335610,NYS REGIONAL FIVE-STAR HEALTH,NYS regionally adjusted five-star quality rating for health inspections,15,6.67,15.33,22.67,39.17,96.33,4,,NA,7,,Allegany,Cattaraugus,WRO,"(42.0946, -78.4899)"
2023,"Absolut Center for Nursing and Rehabilitation at Allegany, LLC","Absolut Center for Nursing and Rehabilitation at Allegany, LLC",73,420302,335610,FACILITY QUINTILE RANK,Quintile ranking,20,92,60,53.3,46.7,37.8,1,,,,,Allegany,Cattaraugus,WRO,"(42.0946, -78.4899)"
2023,"Absolut Center for Nursing and Rehabilitation at Allegany, LLC","Absolut Center for Nursing and Rehabilitation at Allegany, LLC",73,420302,335610,FACILITY SCORE,Overall Score Ratio per Base Points,19,92,60,53.3,46.7,37.8,,,1,66.7,,Allegany,Cattaraugus,WRO,"(42.0946, -78.4899)"
2023,"Absolut Center for Nursing and Rehabilitation at Allegany, LLC","Absolut Center for Nursing and Rehabilitation at Allegany, LLC",73,420302,335610,RESIDENT WEIGHT LOSS,Percent of long stay residents who lose too much weight,10,3.9,5.2,6.3,7.8,18.2,,SS,NA,0,Sample size too small to report,Allegany,Cattaraugus,WRO,"(42.0946, -78.4899)"
2023,"Absolut Center for Nursing and Rehabilitation at Allegany, LLC","Absolut Center for Nursing and Rehabilitation at Allegany, LLC",73,420302,335610,RESIDENT PRESSURE ULCER,Percent of long stay high risk residents with pressure ulcers,4,5.7,7.6,9.6,12.2,27,0,,1,5,,Allegany,Cattaraugus,WRO,"(42.0946, -78.4899)"
2023,"Absolut Center for Nursing and Rehabilitation at Allegany, LLC","Absolut Center for Nursing and Rehabilitation at Allegany, LLC",73,420302,335610,RESIDENT FLU VACCINE,Percent of long stay residents who received the seasonal influenza vaccine,7.2,99,89,84,78,71,78,,4,0,,Allegany,Cattaraugus,WRO,"(42.0946, -78.4899)"
2023,"Absolut Center for Nursing and Rehabilitation at Allegany, LLC","Absolut Center for Nursing and Rehabilitation at Allegany, LLC",73,420302,335610,RESIDENT ADL INCREASE,Percent of long stay residents whose need for help with daily activities has increased,13,10,12,16,19,43,3,,1,5,,Allegany,Cattaraugus,WRO,"(42.0946, -78.4899)"
2023,"Absolut Center for Nursing and Rehabilitation at Allegany, LLC","Absolut Center for Nursing and Rehabilitation at Allegany, LLC",73,420302,335610,FACILITY CONTRACT STAFF,Percent of contract/agency staff used,1,,,,,,1,,NA,5,,Allegany,Cattaraugus,WRO,"(42.0946, -78.4899)"
2023,"Absolut Center for Nursing and Rehabilitation at Allegany, LLC","Absolut Center for Nursing and Rehabilitation at Allegany, LLC",73,420302,335610,RESIDENT INCONTINENCE,Percent of long stay low risk residents who lose control of their bowel or bladder,5,42,53,62,73,98,60,,3,1,,Allegany,Cattaraugus,WRO,"(42.0946, -78.4899)"
2023,"Absolut Center for Nursing and Rehabilitation at Allegany, LLC","Absolut Center for Nursing and Rehabilitation at Allegany, LLC",73,420302,335610,RESIDENT FALLS,Percent of long stay residents experiencing one or more falls with major injury,8,1.3,2.1,3.1,4.7,12.4,0,,NA,5,,Allegany,Cattaraugus,WRO,"(42.0946, -78.4899)"
2023,"Absolut Center for Nursing and Rehabilitation at Allegany, LLC","Absolut Center for Nursing and Rehabilitation at Allegany, LLC",73,420302,335610,TOTAL NURSING STAFF TURNOVER,The percentage of nursing staff that left the nursing home over a twelve-month period,14.1,41.8,49.3,55.5,62.3,100,48.3,,2,3,,Allegany,Cattaraugus,WRO,"(42.0946, -78.4899)"
2023,"Absolut Center for Nursing and Rehabilitation at Allegany, LLC","Absolut Center for Nursing and Rehabilitation at Allegany, LLC",73,420302,335610,RATE OF STAFF HOURS PER DAY,Rate of staffing hours per resident per day,2.2,7.1,4,3.5,3.3,3,3,,5,0,,Allegany,Cattaraugus,WRO,"(42.0946, -78.4899)"
2023,"Absolut Center for Nursing and Rehabilitation at Allegany, LLC","Absolut Center for Nursing and Rehabilitation at Allegany, LLC",73,420302,335610,FACILITY EMPLOYEE FLU TIMELY,Timely submission of employee influenza immunization data,16,,,,,,,Yes,NA,5,,Allegany,Cattaraugus,WRO,"(42.0946, -78.4899)"
2023,"Absolut Center for Nursing and Rehabilitation at Aurora Park, LLC","Absolut Center for Nursing and Rehabilitation at Aurora Park, LLC",278,1422303,335281,FACILITY EMPLOYEE FLU TIMELY,Timely submission of employee influenza immunization data,16,,,,,,,Yes,NA,5,,East Aurora,Erie,WRO,"(42.7681, -78.6235)"
2023,"Absolut Center for Nursing and Rehabilitation at Aurora Park, LLC","Absolut Center for Nursing and Rehabilitation at Aurora Park, LLC",278,1422303,335281,RESIDENT UTI,Percent of long stay residents with a urinary tract infection,14,0.4,0.9,1.7,2.8,12.9,0.4,,NA,5,,East Aurora,Erie,WRO,"(42.7681, -78.6235)"
2023,"Absolut Center for Nursing and Rehabilitation at Aurora Park, LLC","Absolut Center for Nursing and Rehabilitation at Aurora Park, LLC",278,1422303,335281,RESIDENT FLU VACCINE,Percent of long stay residents who received the seasonal influenza vaccine,7.2,99,89,84,78,71,83,,3,1,,East Aurora,Erie,WRO,"(42.7681, -78.6235)"
2023,"Absolut Center for Nursing and Rehabilitation at Aurora Park, LLC","Absolut Center for Nursing and Rehabilitation at Aurora Park, LLC",278,1422303,335281,FACILITY EMPLOYEE FLU VACCINE,Percent of employees vaccinated for the flu,3,100,77,62,50,37,62,,3,1,,East Aurora,Erie,WRO,"(42.7681, -78.6235)"
2023,"Absolut Center for Nursing and Rehabilitation at Aurora Park, LLC","Absolut Center for Nursing and Rehabilitation at Aurora Park, LLC",278,1422303,335281,TOTAL NURSING STAFF TURNOVER,The percentage of nursing staff that left the nursing home over a twelve-month period,14.1,41.8,49.3,55.5,62.3,100,62,,4,0,,East Aurora,Erie,WRO,"(42.7681, -78.6235)"
2023,"Absolut Center for Nursing and Rehabilitation at Aurora Park, LLC","Absolut Center for Nursing and Rehabilitation at Aurora Park, LLC",278,1422303,335281,RESIDENT PAH ADJUSTED,"Number of potentially avoidable hospitalizations per 10,000 long stay days",18,3.3,4.6,5.7,7.5,17.6,6.4,,4,2,,East Aurora,Erie,WRO,"(42.7681, -78.6235)"
2023,"Absolut Center for Nursing and Rehabilitation at Aurora Park, LLC","Absolut Center for Nursing and Rehabilitation at Aurora Park, LLC",278,1422303,335281,FACILITY CONTRACT STAFF,Percent of contract/agency staff used,1,,,,,,8,,NA,5,,East Aurora,Erie,WRO,"(42.7681, -78.6235)"
2023,"Absolut Center for Nursing and Rehabilitation at Aurora Park, LLC","Absolut Center for Nursing and Rehabilitation at Aurora Park, LLC",278,1422303,335281,RESIDENT INCONTINENCE,Percent of long stay low risk residents who lose control of their bowel or bladder,5,42,53,62,73,98,52,,2,3,,East Aurora,Erie,WRO,"(42.7681, -78.6235)"
2023,"Absolut Center for Nursing and Rehabilitation at Aurora Park, LLC","Absolut Center for Nursing and Rehabilitation at Aurora Park, LLC",278,1422303,335281,RESIDENT PNEUMOCOCCAL VACCINE,Percent of long stay residents who received the pneumococcal vaccine,6.2,99,84,76,66,54,69,,3,1,,East Aurora,Erie,WRO,"(42.7681, -78.6235)"
2023,"Absolut Center for Nursing and Rehabilitation at Aurora Park, LLC","Absolut Center for Nursing and Rehabilitation at Aurora Park, LLC",278,1422303,335281,NYS REGIONAL FIVE-STAR HEALTH,NYS regionally adjusted five-star quality rating for health inspections,15,6.67,15.33,22.67,39.17,96.33,3,,NA,4,,East Aurora,Erie,WRO,"(42.7681, -78.6235)"
2023,"Absolut Center for Nursing and Rehabilitation at Aurora Park, LLC","Absolut Center for Nursing and Rehabilitation at Aurora Park, LLC",278,1422303,335281,RESIDENT PRESSURE ULCER,Percent of long stay high risk residents with pressure ulcers,4,5.7,7.6,9.6,12.2,27,8.2,,3,1,,East Aurora,Erie,WRO,"(42.7681, -78.6235)"
2023,"Absolut Center for Nursing and Rehabilitation at Aurora Park, LLC","Absolut Center for Nursing and Rehabilitation at Aurora Park, LLC",278,1422303,335281,FACILITY JKL,J/K/L deficiency,21,,,,,,,No,,,,East Aurora,Erie,WRO,"(42.7681, -78.6235)"
2023,"Absolut Center for Nursing and Rehabilitation at Aurora Park, LLC","Absolut Center for Nursing and Rehabilitation at Aurora Park, LLC",278,1422303,335281,RATE OF STAFF HOURS PER DAY,Rate of staffing hours per resident per day,2.2,7.1,4,3.5,3.3,3,3.6,,2,3,,East Aurora,Erie,WRO,"(42.7681, -78.6235)"
2023,"Absolut Center for Nursing and Rehabilitation at Aurora Park, LLC","Absolut Center for Nursing and Rehabilitation at Aurora Park, LLC",278,1422303,335281,FACILITY SCORE,Overall Score Ratio per Base Points,19,92,60,53.3,46.7,37.8,,,3,48.9,,East Aurora,Erie,WRO,"(42.7681, -78.6235)"
2023,"Absolut Center for Nursing and Rehabilitation at Aurora Park, LLC","Absolut Center for Nursing and Rehabilitation at Aurora Park, LLC",278,1422303,335281,FACILITY QUINTILE RANK,Quintile ranking,20,92,60,53.3,46.7,37.8,3,,,,,East Aurora,Erie,WRO,"(42.7681, -78.6235)"
2023,"Absolut Center for Nursing and Rehabilitation at Aurora Park, LLC","Absolut Center for Nursing and Rehabilitation at Aurora Park, LLC",278,1422303,335281,FACILITY CLOSURE,Facility closed during the measurement or reporting year,22,,,,,,,No,,,,East Aurora,Erie,WRO,"(42.7681, -78.6235)"
2023,"Absolut Center for Nursing and Rehabilitation at Aurora Park, LLC","Absolut Center for Nursing and Rehabilitation at Aurora Park, LLC",278,1422303,335281,RESIDENT FALLS,Percent of long stay residents experiencing one or more falls with major injury,8,1.3,2.1,3.1,4.7,12.4,1.6,,NA,5,,East Aurora,Erie,WRO,"(42.7681, -78.6235)"
2023,"Absolut Center for Nursing and Rehabilitation at Aurora Park, LLC","Absolut Center for Nursing and Rehabilitation at Aurora Park, LLC",278,1422303,335281,RESIDENT WEIGHT LOSS,Percent of long stay residents who lose too much weight,10,3.9,5.2,6.3,7.8,18.2,5.4,,3,2,,East Aurora,Erie,WRO,"(42.7681, -78.6235)"
2023,"Absolut Center for Nursing and Rehabilitation at Aurora Park, LLC","Absolut Center for Nursing and Rehabilitation at Aurora Park, LLC",278,1422303,335281,RESIDENT DEPRESSION,Percent of long stay residents who have depressive symptoms,9,0.9,3.3,9.2,23.8,100,1.1,,2,3,,East Aurora,Erie,WRO,"(42.7681, -78.6235)"
2023,"Absolut Center for Nursing and Rehabilitation at Aurora Park, LLC","Absolut Center for Nursing and Rehabilitation at Aurora Park, LLC",278,1422303,335281,RESIDENT ADL INCREASE,Percent of long stay residents whose need for help with daily activities has increased,13,10,12,16,19,43,11,,2,3,,East Aurora,Erie,WRO,"(42.7681, -78.6235)"
2023,"Absolut Center for Nursing and Rehabilitation at Endicott, LLC","Absolut Center for Nursing and Rehabilitation at Endicott, LLC",56,302303,335371,RESIDENT INCONTINENCE,Percent of long stay low risk residents who lose control of their bowel or bladder,5,42,53,62,73,98,46,,2,3,,Endicott,Broome,CNYRO,"(42.1139, -76.0577)"
2023,"Absolut Center for Nursing and Rehabilitation at Endicott, LLC","Absolut Center for Nursing and Rehabilitation at Endicott, LLC",56,302303,335371,RESIDENT ADL INCREASE,Percent of long stay residents whose need for help with daily activities has increased,13,10,12,16,19,43,10,,1,5,,Endicott,Broome,CNYRO,"(42.1139, -76.0577)"
2023,"Absolut Center for Nursing and Rehabilitation at Endicott, LLC","Absolut Center for Nursing and Rehabilitation at Endicott, LLC",56,302303,335371,RESIDENT PAH ADJUSTED,"Number of potentially avoidable hospitalizations per 10,000 long stay days",18,3.3,4.6,5.7,7.5,17.6,6.9,,4,2,,Endicott,Broome,CNYRO,"(42.1139, -76.0577)"
2023,"Absolut Center for Nursing and Rehabilitation at Endicott, LLC","Absolut Center for Nursing and Rehabilitation at Endicott, LLC",56,302303,335371,FACILITY CLOSURE,Facility closed during the measurement or reporting year,22,,,,,,,No,,,,Endicott,Broome,CNYRO,"(42.1139, -76.0577)"
2023,"Absolut Center for Nursing and Rehabilitation at Endicott, LLC","Absolut Center for Nursing and Rehabilitation at Endicott, LLC",56,302303,335371,RESIDENT PNEUMOCOCCAL VACCINE,Percent of long stay residents who received the pneumococcal vaccine,6.2,99,84,76,66,54,69,,3,2,,Endicott,Broome,CNYRO,"(42.1139, -76.0577)"
2023,"Absolut Center for Nursing and Rehabilitation at Endicott, LLC","Absolut Center for Nursing and Rehabilitation at Endicott, LLC",56,302303,335371,RESIDENT WEIGHT LOSS,Percent of long stay residents who lose too much weight,10,3.9,5.2,6.3,7.8,18.2,6.7,,4,0,,Endicott,Broome,CNYRO,"(42.1139, -76.0577)"
2023,"Absolut Center for Nursing and Rehabilitation at Endicott, LLC","Absolut Center for Nursing and Rehabilitation at Endicott, LLC",56,302303,335371,FACILITY EMPLOYEE FLU VACCINE,Percent of employees vaccinated for the flu,3,100,77,62,50,37,72,,2,3,,Endicott,Broome,CNYRO,"(42.1139, -76.0577)"
2023,"Absolut Center for Nursing and Rehabilitation at Endicott, LLC","Absolut Center for Nursing and Rehabilitation at Endicott, LLC",56,302303,335371,RATE OF STAFF HOURS PER DAY,Rate of staffing hours per resident per day,2.2,7.1,4,3.5,3.3,3,3.8,,2,3,,Endicott,Broome,CNYRO,"(42.1139, -76.0577)"
2023,"Absolut Center for Nursing and Rehabilitation at Endicott, LLC","Absolut Center for Nursing and Rehabilitation at Endicott, LLC",56,302303,335371,TOTAL NURSING STAFF TURNOVER,The percentage of nursing staff that left the nursing home over a twelve-month period,14.1,41.8,49.3,55.5,62.3,100,65.6,,5,0,,Endicott,Broome,CNYRO,"(42.1139, -76.0577)"
2023,"Absolut Center for Nursing and Rehabilitation at Endicott, LLC","Absolut Center for Nursing and Rehabilitation at Endicott, LLC",56,302303,335371,FACILITY JKL,J/K/L deficiency,21,,,,,,,No,,,,Endicott,Broome,CNYRO,"(42.1139, -76.0577)"
2023,"Absolut Center for Nursing and Rehabilitation at Endicott, LLC","Absolut Center for Nursing and Rehabilitation at Endicott, LLC",56,302303,335371,RESIDENT FLU VACCINE,Percent of long stay residents who received the seasonal influenza vaccine,7.2,99,89,84,78,71,77,,4,0,,Endicott,Broome,CNYRO,"(42.1139, -76.0577)"
2023,"Absolut Center for Nursing and Rehabilitation at Endicott, LLC","Absolut Center for Nursing and Rehabilitation at Endicott, LLC",56,302303,335371,FACILITY EMPLOYEE FLU TIMELY,Timely submission of employee influenza immunization data,16,,,,,,,Yes,NA,5,,Endicott,Broome,CNYRO,"(42.1139, -76.0577)"
2023,"Absolut Center for Nursing and Rehabilitation at Endicott, LLC","Absolut Center for Nursing and Rehabilitation at Endicott, LLC",56,302303,335371,FACILITY QUINTILE RANK,Quintile ranking,20,92,60,53.3,46.7,37.8,4,,,,,Endicott,Broome,CNYRO,"(42.1139, -76.0577)"
2023,"Absolut Center for Nursing and Rehabilitation at Endicott, LLC","Absolut Center for Nursing and Rehabilitation at Endicott, LLC",56,302303,335371,RESIDENT UTI,Percent of long stay residents with a urinary tract infection,14,0.4,0.9,1.7,2.8,12.9,0.6,,NA,5,,Endicott,Broome,CNYRO,"(42.1139, -76.0577)"
2023,"Absolut Center for Nursing and Rehabilitation at Endicott, LLC","Absolut Center for Nursing and Rehabilitation at Endicott, LLC",56,302303,335371,NYS REGIONAL FIVE-STAR HEALTH,NYS regionally adjusted five-star quality rating for health inspections,15,11.33,24,36.67,58,190.83,2,,NA,2,,Endicott,Broome,CNYRO,"(42.1139, -76.0577)"
2023,"Absolut Center for Nursing and Rehabilitation at Endicott, LLC","Absolut Center for Nursing and Rehabilitation at Endicott, LLC",56,302303,335371,FACILITY SCORE,Overall Score Ratio per Base Points,19,92,60,53.3,46.7,37.8,,,4,38.9,,Endicott,Broome,CNYRO,"(42.1139, -76.0577)"
2023,"Absolut Center for Nursing and Rehabilitation at Endicott, LLC","Absolut Center for Nursing and Rehabilitation at Endicott, LLC",56,302303,335371,RESIDENT PRESSURE ULCER,Percent of long stay high risk residents with pressure ulcers,4,5.7,7.6,9.6,12.2,27,17,,5,0,,Endicott,Broome,CNYRO,"(42.1139, -76.0577)"
2023,"Absolut Center for Nursing and Rehabilitation at Endicott, LLC","Absolut Center for Nursing and Rehabilitation at Endicott, LLC",56,302303,335371,FACILITY CONTRACT STAFF,Percent of contract/agency staff used,1,,,,,,27,,NA,0,,Endicott,Broome,CNYRO,"(42.1139, -76.0577)"
2023,"Absolut Center for Nursing and Rehabilitation at Endicott, LLC","Absolut Center for Nursing and Rehabilitation at Endicott, LLC",56,302303,335371,RESIDENT DEPRESSION,Percent of long stay residents who have depressive symptoms,9,0.9,3.3,9.2,23.8,100,0.2,,1,5,,Endicott,Broome,CNYRO,"(42.1139, -76.0577)"
2023,"Absolut Center for Nursing and Rehabilitation at Endicott, LLC","Absolut Center for Nursing and Rehabilitation at Endicott, LLC",56,302303,335371,RESIDENT FALLS,Percent of long stay residents experiencing one or more falls with major injury,8,1.3,2.1,3.1,4.7,12.4,6.7,,NA,0,,Endicott,Broome,CNYRO,"(42.1139, -76.0577)"
2023,"Absolut Center for Nursing and Rehabilitation at Gasport, LLC","Absolut Center for Nursing and Rehabilitation at Gasport, LLC",588,3158302,335533,TOTAL NURSING STAFF TURNOVER,The percentage of nursing staff that left the nursing home over a twelve-month period,14.1,41.8,49.3,55.5,62.3,100,62.4,,5,0,,Gasport,Niagara,WRO,"(43.1936, -78.5733)"
2023,"Absolut Center for Nursing and Rehabilitation at Gasport, LLC","Absolut Center for Nursing and Rehabilitation at Gasport, LLC",588,3158302,335533,FACILITY EMPLOYEE FLU TIMELY,Timely submission of employee influenza immunization data,16,,,,,,,Yes,NA,5,,Gasport,Niagara,WRO,"(43.1936, -78.5733)"
2023,"Absolut Center for Nursing and Rehabilitation at Gasport, LLC","Absolut Center for Nursing and Rehabilitation at Gasport, LLC",588,3158302,335533,FACILITY CLOSURE,Facility closed during the measurement or reporting year,22,,,,,,,No,,,,Gasport,Niagara,WRO,"(43.1936, -78.5733)"
2023,"Absolut Center for Nursing and Rehabilitation at Gasport, LLC","Absolut Center for Nursing and Rehabilitation at Gasport, LLC",588,3158302,335533,RESIDENT FALLS,Percent of long stay residents experiencing one or more falls with major injury,8,1.3,2.1,3.1,4.7,12.4,4.2,,NA,5,,Gasport,Niagara,WRO,"(43.1936, -78.5733)"
2023,"Absolut Center for Nursing and Rehabilitation at Gasport, LLC","Absolut Center for Nursing and Rehabilitation at Gasport, LLC",588,3158302,335533,RESIDENT PRESSURE ULCER,Percent of long stay high risk residents with pressure ulcers,4,5.7,7.6,9.6,12.2,27,7.5,,2,3,,Gasport,Niagara,WRO,"(43.1936, -78.5733)"
2023,"Absolut Center for Nursing and Rehabilitation at Gasport, LLC","Absolut Center for Nursing and Rehabilitation at Gasport, LLC",588,3158302,335533,RESIDENT PNEUMOCOCCAL VACCINE,Percent of long stay residents who received the pneumococcal vaccine,6.2,99,84,76,66,54,65,,4,0,,Gasport,Niagara,WRO,"(43.1936, -78.5733)"
